period,metric_id,value,budget,name,definition,formula,granularity,source,owner,frequency,expected_min,expected_max,improvement_direction,effective_date,budget_variance
2025-08,NET_SALES,831867.42,784230.5,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.060743518646622446
2025-08,ORDERS,37.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2025-08,PAYMENTS,141342.6,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2025-08,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2025-09,COMPLIANCE,0.7845744680851063,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2025-09,CYCLE_TIME,7.6462765957446805,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2025-09,EXPENSES,765826.81,711481.13,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.07638386699026023
2025-09,GROSS_MARGIN,0.5490343701660026,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2025-09,INVENTORY,45.60526315789474,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2025-09,INVOICES,28.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2025-09,NET_SALES,784004.36,709675.8699999999,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.10473582820281056
2025-09,ORDERS,47.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2025-09,PAYMENTS,184157.99000000005,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2025-09,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2025-10,COMPLIANCE,0.7824933687002652,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2025-10,CYCLE_TIME,7.76657824933687,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2025-10,EXPENSES,824951.3100000002,770228.4800000002,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.07104752865019993
2025-10,GROSS_MARGIN,0.8167544538952726,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2025-10,INVENTORY,43.36,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2025-10,INVOICES,26.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2025-10,NET_SALES,971557.4199999999,811991.0399999999,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.1965124886107118
2025-10,ORDERS,50.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2025-10,PAYMENTS,151078.01,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2025-10,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2025-11,COMPLIANCE,0.7941952506596306,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2025-11,CYCLE_TIME,7.567282321899736,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2025-11,EXPENSES,873119.9400000001,832159.8600000001,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.04922140801167693
2025-11,GROSS_MARGIN,0.6600958351640529,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2025-11,INVENTORY,45.48936170212766,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2025-11,INVOICES,31.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2025-11,NET_SALES,822422.55,808474.56,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.017252231164824765
2025-11,ORDERS,40.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2025-11,PAYMENTS,90512.51,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2025-11,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2025-12,COMPLIANCE,0.7872340425531915,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2025-12,CYCLE_TIME,7.76595744680851,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2025-12,EXPENSES,819820.3899999999,656753.2699999999,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.24829281778833018
2025-12,GROSS_MARGIN,0.7112831888856461,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2025-12,INVENTORY,46.0,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2025-12,INVOICES,32.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2025-12,NET_SALES,868262.4300000002,718778.28,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.20796976502962797
2025-12,ORDERS,43.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2025-12,PAYMENTS,162299.3,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2025-12,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-01,COMPLIANCE,0.767379679144385,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-01,CYCLE_TIME,7.922459893048129,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-01,EXPENSES,829334.4899999999,738841.5999999997,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.1224794191339526
2026-01,GROSS_MARGIN,0.8058376995662703,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-01,INVENTORY,45.91304347826087,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-01,INVOICES,21.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-01,NET_SALES,999177.49,793804.8000000002,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.2587193854206976
2026-01,ORDERS,47.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-01,PAYMENTS,118905.3,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-01,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-02,COMPLIANCE,0.8116710875331565,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-02,CYCLE_TIME,7.787798408488063,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-02,EXPENSES,769759.7000000002,679894.1000000002,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.13217587856697086
2026-02,GROSS_MARGIN,0.6913164080731792,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-02,INVENTORY,45.696969696969695,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-02,INVOICES,24.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-02,NET_SALES,677302.44,591012.0,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.14600454813100233
2026-02,ORDERS,56.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-02,PAYMENTS,121021.62,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-02,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-03,COMPLIANCE,0.8106666666666666,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-03,CYCLE_TIME,7.776,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-03,EXPENSES,679421.3400000001,661347.8399999999,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.027328281589307432
2026-03,GROSS_MARGIN,0.846304062933568,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-03,INVENTORY,45.925925925925924,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-03,INVOICES,31.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-03,NET_SALES,780897.0900000001,725349.0300000001,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.0765811460449598
2026-03,ORDERS,55.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-03,PAYMENTS,88683.39,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-03,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-04,COMPLIANCE,0.7540106951871658,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-04,CYCLE_TIME,7.938502673796791,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-04,EXPENSES,638017.92,601120.0800000002,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.06138181243255065
2026-04,GROSS_MARGIN,0.7393654662505541,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-04,INVENTORY,46.31111111111111,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-04,INVOICES,27.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-04,NET_SALES,754039.64,634613.8500000002,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.18818654840262275
2026-04,ORDERS,47.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-04,PAYMENTS,149480.36,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-04,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-05,COMPLIANCE,0.85,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-05,CYCLE_TIME,7.647368421052631,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-05,EXPENSES,1151549.9600000002,596902.2999999999,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.929210123666805
2026-05,GROSS_MARGIN,0.6950161309305812,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-05,INVENTORY,44.108695652173914,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-05,INVOICES,45.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-05,NET_SALES,705886.12,681397.0700000004,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,0.03593947065255148
2026-05,ORDERS,49.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-05,PAYMENTS,81016.6,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-05,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
2026-06,COMPLIANCE,0.832,,Cumplimiento,Porcentaje aprobado o en término,approved_or_on_time/records,month,vw_metric_monitoring,Operations,monthly,0.72,1.0,higher,2024-07-01,
2026-06,CYCLE_TIME,7.68,,Tiempo de ciclo,Días promedio de procesamiento,AVG(cycle_days),month,vw_metric_monitoring,Operations,monthly,1.0,18.0,lower,2024-07-01,
2026-06,EXPENSES,802088.58,646978.1100000002,Gastos,Suma de egresos aceptados,SUM(amount WHERE metric_type=expense),month,vw_metric_monitoring,Finance,monthly,200000.0,1200000.0,lower,2024-07-01,0.23974608661798416
2026-06,GROSS_MARGIN,0.7821680670089547,,Margen bruto,"Ventas menos costo imputado, sobre ventas",(sales-margin_input)/sales,month,vw_metric_monitoring,Finance,monthly,0.25,0.55,higher,2024-07-01,
2026-06,INVENTORY,43.708333333333336,,Inventario promedio,Unidades promedio informadas,AVG(quantity WHERE metric_type=inventory),month,vw_metric_monitoring,Operations,monthly,20.0,80.0,neutral,2024-07-01,
2026-06,INVOICES,20.0,,Facturas,Cantidad de facturas procesadas,COUNT(record_id WHERE metric_type=invoice),month,vw_metric_monitoring,Finance,monthly,20.0,250.0,neutral,2024-07-01,
2026-06,NET_SALES,509747.99,644818.8599999999,Ventas netas,Suma de ventas aceptadas,SUM(amount WHERE metric_type=sales),month,vw_metric_monitoring,Commercial Analytics,monthly,500000.0,2500000.0,higher,2024-07-01,-0.20947102880954802
2026-06,ORDERS,58.0,,Órdenes,Cantidad de registros de orden,COUNT(record_id WHERE metric_type=order),month,vw_metric_monitoring,Operations,monthly,40.0,400.0,higher,2024-07-01,
2026-06,PAYMENTS,211434.39,,Pagos,Importe total de pagos,SUM(amount WHERE metric_type=payment),month,vw_metric_monitoring,Treasury,monthly,100000.0,1000000.0,neutral,2024-07-01,
2026-06,SUPPLIERS,5.0,,Proveedores activos,Proveedores únicos con actividad,COUNT(DISTINCT entity_name),month,vw_metric_monitoring,Procurement,monthly,2.0,80.0,neutral,2024-07-01,
